Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	stringsAsFactor
TCGA-97-7938-01A	0.121792348787965	0	0.00791546418383555	0.166841916299767	0	0.159485869914171	0	0.0638966195921481	0	0	0	0.00785143038667943	0.0329471661123467	0.117885720367832	0.0171567164178186	0.118591362152246	0	0.0417255164700189	0.135030782857995	0	0	0.00887908645717653	0.16	0.0697847830040579	1.05162971673575	FALSE
TCGA-55-7574-01A	0.285126567608036	0	0.0768377860984329	0.0699764694438448	0	0.276468933400615	0.0116265802266258	0	0	0	0.0416957613463098	0	0.00378775263507595	0.0612343372920092	0.0199313780853142	0.12160794272309	0	0.0140170294023067	0.0176894617383402	0	0	0	0	0.479251400415178	0.876976851614225	FALSE
TCGA-05-4250-01A	0.0780947828582765	0	0.0114809251469868	0.127566455250963	0	0.220791759270551	0.0622629259725955	0.0222845133182763	0	0	0.0450435151101707	0	0.0141372291761227	0.0510517171304717	0.0696074957976335	0.245870534361048	0	0.0336271421056892	0.014198911786759	0	0	0.00398209271445608	0.02	0.202136487000973	1.00231880893814	FALSE
TCGA-95-A4VK-01A	0.20043537763036	0.0315578018206926	0	0.131372739377021	0	0.221149487120412	0	0.0553864438315576	0.00154540823704613	0	0.0437853203744288	0	0.0672221004642568	0.118029011001747	0.0764282522115354	0.027626806301398	0	0.00475331560044083	0.0207079360291045	0	0	0	0.01	0.315148668919693	0.95895187216379	FALSE
TCGA-97-A4M6-01A	0.090302788504278	0	0	0.106355399301041	0	0.214680162159319	0	0.00807501060136962	0.00681416954754478	0	0	0.0340693974327538	0.0435791044153038	0.122726820944526	0.123578143527847	0.114567494360569	0.040669344931336	0.0240663124658565	0.0705158518082549	0	0	0	0.02	0.202732016897517	1.0022867208822	FALSE
TCGA-78-7155-01A	0.0958483334552216	0	0.0163358860491957	0.16465096033898	0	0.111050395219758	0	0.0320663438283273	0	0	0	0	0	0.129226776992841	0.0684205660742568	0.360808574204621	0	0.00983977309216788	0	0.000700620590990619	0.00495964780815407	0.00609212234548596	0.04	0.114552707183431	1.04675528120334	FALSE
TCGA-05-4402-01A	0.0935846248713195	0	0.039993529972476	0.0508480406546761	0	0.288284036724413	0	0	0.00453127374187316	0	0	0.0352983151401165	0.0476602851343952	0.0773373065117153	0	0.170616131858329	0.0111493197974607	0.0900297122104132	0.0906674233828129	0	0	0	0.02	0.221910133822131	0.988983089687013	FALSE
TCGA-MP-A4T4-01A	0.0711916815298844	0	0.00709741740022924	0.0694374526874317	0	0.300295399611223	0.00740871886420807	0.0189276287045117	0.0200734649518407	0	0.0470246924283733	0.0294982297162494	0.0242984930925374	0.111823469324219	0.0716545334617502	0.145210093989991	0	0.0170762269265714	0.0589824973109784	0	0	0	0.04	0.110163032220178	1.04202975438242	FALSE
TCGA-78-7535-01A	0	0.0350170074571276	0.0183377838806728	0.0278233798554549	0	0.0789500403632593	0	0.00804205857962305	0.000945432929764061	0	0.0265870517956623	0	0	0.161694227639017	0	0.475318241111861	0.121191290306806	0.0148891651824716	0.0312043208982811	0	0	0	0.02	0.206099904466504	1.02193641203356	FALSE
TCGA-55-8619-01A	0.125077164945715	0.00532375770993882	0.00248935649988571	0.0901780256268383	0	0.188700905010385	0.0129454149147323	0	0.0109590887020489	0	0.0405917646093513	0.0225251546426377	0.0640290095287149	0.112375458569015	0.0146073262141211	0.150066595575565	0	0.0203003124467439	0.110925730497942	0	0	0.028904934506365	0.02	0.251661358376321	0.976886750349699	FALSE
TCGA-95-7567-01A	0.143902066223267	0	0.0979587094928019	0.0974798976942996	0	0.190783139530125	0.0129737595100469	0	0.10207865822255	0	0	0.0244587362907722	0	0.0340919831417812	0.0592473754589476	0.184895694213218	0.0150197483912242	0.0305320368074758	0.00476248380553538	0	0	0.00181571121795518	0.01	0.315104839270044	0.957498791017836	FALSE
TCGA-49-6745-01A	0.00862226440259539	0	0	0.0885572777073417	0	0.248876388814784	0.0294891052659256	0	0	0	0.019843961865723	0.0031453746331662	0.0608073483298556	0.142938383989238	0.0432760324376919	0.224742179159139	0.0198252503974305	0.0603499747170214	0.0479384778234356	0	0	0.00158798045665273	0.03	0.150872142621569	1.02324680256578	FALSE
TCGA-MP-A4TI-01A	0.123869490549546	0	0.0152321864492726	0	0	0.22716138418445	0.0200994671050921	0.0250877607200016	0.0122156229893967	0	0.0382256223816999	0.00388161736567246	0	0.202296979028329	0.0792115794721112	0.194713475422893	0	0.0328903991979892	0.0241980480734202	0	0	0.00091636706012557	0	0.570211223588981	0.833255694907339	FALSE
TCGA-50-6673-01A	0.15552806926248	0	0.0311972417308344	0	0	0.308052656465607	0	0.00829681232072407	0.00537016910279677	0	0.002111622748584	0.0285801846248062	0.0259065086570743	0.147245152292991	0.0132503653401944	0.181904697473777	0.00226142165901572	0.047387097123369	0.0429080011977459	0	0	0	0.02	0.253315153080342	0.980260329827097	FALSE
TCGA-55-1592-01A	0.232458886352358	0	0.0380478938634277	0.0673234835634854	0	0.15301460222292	0	0.013548580260623	0.00188344292709261	0	0.00257822792401845	0.00948489536682207	0.0466343052375714	0.206542596438756	0.00301273315371793	0.163644078464324	0	0.00724300356315547	0.0501475654380855	0	0	0.00443570522364222	0	0.38421528999975	0.924617981904794	FALSE
TCGA-44-8117-01A	0.242238281664129	0	0.0354701171867183	0.0486593260970321	0	0.19707791029397	0.00286702283764269	0.0123888679552569	0.00353271066271269	0	0	0.00634098556036111	0	0.232469579573359	0.0312123581925004	0.158743976927492	0	0	0	0.0289988630488247	0	0	0.01	0.356776450267831	0.93987630580508	FALSE
TCGA-50-6594-01A	0.0117474528554089	0.0425798107329718	0.00611499523462593	0	0.001628659661971	0.1185853247668	0	0	0	0.0090291507537937	0	0.0516501273603473	0.00939299377342827	0.266293764891838	0	0.184208068030115	0.0804643298113653	0.132283163605526	0.0745730209738784	0	0.00076287491373476	0.0106862626341949	0.04	0.124184214575448	1.04405911325049	FALSE
TCGA-62-8402-01A	0.0823816236362958	0	0.010744869132517	0.0715422699220381	0	0.230426802564753	0.0444945456673441	0.00804081965059386	0.0321304274013398	0	0.0480912931650064	0.00962377973794086	0	0.245568950917861	0.150138458795694	0.0406264056995402	0	0	0.0227540467594691	0	0	0.00343570694960779	0.01	0.303374437575821	0.965907449308797	FALSE
TCGA-50-5045-01A	0.0850279171592287	0.0258317341834739	0	0.0728270543330299	0	0.206102007416322	0.0100735807655082	0.0462804693711667	0.0106640605102882	0	0	0.0162439576865893	0.0252449377821899	0.0159523795219399	0.0603548315711166	0.226347035489363	0.0757067789920244	0.0412748102156247	0.0795316761889272	0	0	0.00253676881320741	0.03	0.169922469424808	1.00844780299326	FALSE
TCGA-J2-A4AD-01A	0.212448440873866	0	0.0811952633147469	0.0484291562393273	0	0.152811539871473	0	0.00583708391285614	0	0	0	0.0305438172439504	0.0102322134231931	0.154230998717275	0	0.124512306247615	0	0.0946616377118852	0.0850975424438116	0	0	0	0.02	0.206409563941508	1.00363623842051	FALSE
TCGA-4B-A93V-01A	0.208598718946528	0	0.19628736581196	0.0462564981166994	0	0.0961288295864755	0.0183531070750874	0.00207607701202234	0.00319097161394409	0	0.0185735874165927	0	0	0.295837499354076	0.0291565549737231	0.0550327248416553	0	0	0	0.0305080652512354	0	0	0	0.531706844070262	0.846430344788681	FALSE
TCGA-67-3770-01A	0.0958751778260463	0	0.0129212951850482	0.0350128211767467	0	0.283059087085524	0.00609517096047882	0	0	0	0.029192183274725	0	0.0161359398938968	0.0889628863562061	0.0568344063570088	0.238176965825304	0	0.0727325083763487	0.0633368774070656	0	0	0.00166468027560095	0.02	0.277310889048392	0.968193020865593	FALSE
TCGA-05-5715-01A	0.121940768025264	0	0	0.0375484836195265	0	0.088286539876509	0	0	0.0368308591910453	0	0.0145478158417789	0	0.00854403774915728	0.382907294038611	0.00445729508150929	0.216748075408949	0	0.00960791410414716	0.0767531094409195	0	0	0.00182780762258209	0	0.393581650124431	0.925299039218897	FALSE
TCGA-50-8460-01A	0.069864590936629	0	0.102985056440604	0.0464396304455798	0	0.194364631573301	0	0	0.0649962988750009	0	0	0.0495021213623895	0.112376591332135	0.0155780641755848	0	0.0926278746584535	0.0501696358606476	0.0807746996891676	0.120320804650507	0	0	0	0.02	0.222238517150339	0.987606431594267	FALSE
TCGA-05-4249-01A	0.0356393234802778	0.0373419550913543	0.00192801029506054	0.0143606929944228	0	0.206559559565767	0	0.0320395990261171	0.0112666509734515	0	0.0115799434506829	0.00727059965418465	0.036884397902515	0	0.0334224945268947	0.18741735910263	0.216285277908923	0.0286940060249243	0.118809880596026	0	0	0.0205002494067678	0.03	0.142148652240705	1.01596492866549	FALSE
TCGA-86-A4P8-01A	0.0991752671643288	0	0.00797164005771454	0.0595756947634081	0	0.29562866638799	0	0	0	0	0.0613763954083048	0.00536104779282222	0.0341648220527646	0.122559425067971	0.0167022904397109	0.254764666890375	0	0.00953720143852433	0.0331828825360851	0	0	0	0.01	0.349540945278878	0.93908702733322	FALSE
TCGA-55-A494-01A	0	0.0208260038461819	0.0192842928764451	0.060163849987734	0	0.146814162668188	0	0.0684897885655872	0	0	0	0.126302243698668	0.0503463892334373	0.167877716042734	0	0.129273078213718	0	0.144917256040411	0.065705218826896	0	0	0	0.99	-0.0613995113697597	1.11027468637738	FALSE
TCGA-95-8494-01A	0.0218673681457909	0.018144643478629	0	0	0	0.18086064172153	0.0173146808412046	0.0149435232367311	0	0	0.00510577879597966	0.0345700001675163	0.204826728304293	0.00805274819329971	0	0.160605636588655	0.13809538056695	0.127342889448165	0.0682699805112562	0	0	0	0.04	0.124837697424134	1.02497713348873	FALSE
TCGA-55-7726-01A	0.0839203902013284	0	0.067560010025668	0.0130653052969268	0	0.185930553815814	0.0145105160116428	0.0188928182165435	0	0	0	0.00578183209219519	0.0347556211607662	0.103605931693437	0.0422316683697409	0.130163376318953	0.166414971999327	0.0591163224690315	0.0534847527006385	0	0	0.0205659296279875	0.02	0.240818438638351	0.980241164258526	FALSE
TCGA-78-8660-01A	0.0399446085702281	0.00577864332521309	0.0196775282754516	0.061517649224459	0	0.250554454354658	0.0258747991545241	0.0194411188866117	0.0243312447069364	0	0.0232602369331101	0.0454453986028295	0	0.194380921291194	0.0788844550907109	0.177058044682728	0	0.00993070004986465	0.0239201968514812	0	0	0	0.03	0.16531253807119	1.02259330002927	FALSE
TCGA-49-4490-01A	0.103088198012045	0	0.0122407183268825	0.0733807154533766	0	0.25835592347032	0	0	0.041065879116517	0	0.0109215561601039	0.0232577480109271	0.0133336203616592	0.235658649294616	0.0448854803197106	0.112707563408044	0	0.0383692959906804	0.0327346520751177	0	0	0	0.03	0.167112488698415	1.02142364752587	FALSE
TCGA-44-2659-01A	0.191156362385608	0	0.104105909106141	0.106539897534389	0	0.305870136391127	0.00507782030552266	0	0.0203678131289746	0	0.00101391845404374	0.0108857905676982	0.0208676878345951	0.00925065892518033	0.043456098180803	0.108164235654222	0.00267767457898244	0.0163301377944322	0.0532803627318739	0	0	0.000955496426406118	0	0.397927848682651	0.919894927479853	FALSE
TCGA-78-7633-01A	0.0771469854971632	0	0.000573974779829456	0.0110418610969649	0	0.281551837122812	0	0.0320314723701325	0	0	0.0156579950316762	0.0321679416817893	0.103993696025533	0.0495136836387013	0.00778297379491927	0.180815866105553	0	0.145406651309549	0.0623150615453768	0	0	0	0.3	0.0386465968492201	1.05987711156749	FALSE
TCGA-55-8299-01A	0.0661453899472288	0	0	0.134631624260371	0	0.0793172717585132	0.0449817204068101	0.0471028144359915	0.0155234511742055	0	0.0977718230574718	0.00264842766480839	0.0285255867767812	0	0.00734991322763374	0.114908821629282	0	0.300977930350432	0.0566844259206044	0	0	0.00343079938986581	0.02	0.28167029478438	0.974269021848304	FALSE
TCGA-67-6217-01A	0.100308222673155	0	0.0328609537394652	0.114315148379873	0	0.315322924780177	0	0	0	0	0.0225565100518425	0	0.0368223429266897	0.00505021138986754	0.0553146147585955	0.173442079416818	0.0570434670334758	0.0407427071121111	0.0462208177379299	0	0	0	0.02	0.211034024266453	0.997861013019733	FALSE
